Location,Date,Year,NH3_N,NO3_N,PO4_P,TSS
MitchellCreek_UpperPiasa,5/16/2023,2023,0.02,1.55,0.05,2
MitchellCreek_UpperPiasa,5/17/2023,2023,0.01,1.2,0.045,4
MitchellCreek_UpperPiasa,5/18/2023,2023,0.01,1.1,0.043,5
AirportRd_MiddlePiasa,5/16/2023,2023,0.01,1.2,0.031,5
AirportRd_MiddlePiasa,5/17/2023,2023,0.03,1.3,0.035,6
AirportRd_MiddlePiasa,5/18/2023,2023,0.02,1.1,0.033,6
RockyFork_LowerPiasa,5/16/2023,2023,0.04,1.8,0.05,8
RockyFork_LowerPiasa,5/17/2023,2023,0.05,1.9,0.07,7
RockyFork_LowerPiasa,5/18/2023,2023,0.045,2,0.061,7
MitchellCreek_UpperPiasa,5/15/2016,2016,0.01,1.51,0.047,
AirportRd_MiddlePiasa,5/15/2016,2016,0.01,1.20,0.035,
RockyFork_LowerPiasa,5/15/2016,2016,0.05,2.33,0.089,
MitchellCreek_UpperPiasa,5/15/2017,2017,0.05,2.10,0.037,
AirportRd_MiddlePiasa,5/15/2017,2017,0.09,3.34,0.071,
RockyFork_LowerPiasa,5/15/2017,2017,0.04,1.47,0.061,
MitchellCreek_UpperPiasa,5/15/2019,2019,,2.37,0.066,1
AirportRd_MiddlePiasa,5/15/2019,2019,,,,
RockyFork_LowerPiasa,5/15/2019,2019,,,,
